feature1,feature2,feature3,feature4,label
0.10,0.20,0.10,0.30,0
0.20,0.10,0.20,0.40,0
0.30,0.20,0.10,0.50,0
0.40,0.30,0.20,0.40,0
0.50,0.50,0.40,0.60,0
0.60,0.70,0.50,0.80,1
0.70,0.80,0.60,0.70,1
0.80,0.90,0.70,0.90,1
0.90,1.00,0.80,1.00,1
1.00,1.10,0.90,1.10,1
0.15,0.25,0.15,0.35,0
0.25,0.35,0.25,0.45,0
0.35,0.45,0.35,0.55,0
0.75,0.85,0.65,0.85,1
0.85,0.95,0.75,0.95,1
0.95,1.05,0.85,1.05,1
0.12,0.22,0.18,0.28,0
0.28,0.38,0.22,0.48,0
0.72,0.82,0.62,0.82,1
0.92,1.02,0.82,1.02,1
0.45,0.55,0.40,0.50,1
0.48,0.50,0.45,0.55,0
0.52,0.58,0.42,0.60,1
0.58,0.62,0.48,0.65,0
0.62,0.68,0.52,0.70,1
0.18,0.80,0.20,0.30,1
0.22,0.75,0.25,0.35,0
0.70,0.30,0.80,0.90,0
0.78,0.35,0.75,0.95,1
0.33,0.90,0.30,0.40,1
0.88,0.20,0.85,1.00,0
0.40,0.60,0.55,0.45,0
0.55,0.65,0.35,0.75,1
0.68,0.72,0.60,0.88,1
0.73,0.77,0.68,0.92,0
0.27,0.42,0.31,0.52,0
0.31,0.47,0.29,0.58,1
0.82,0.91,0.71,0.96,1
0.91,0.99,0.88,1.08,1
0.97,1.12,0.91,1.15,0
